,CNTYNAME,DISTRICT_id,DISTNAME,District 2022-23 Total Students Count,District 2023 Staff: All Staff Total Full Time Equiv Count,District 2022-23 African American Students Percent,District 2022-23 American Indian Students Percent,District 2022-23 Asian Students Percent,District 2022-23 Hispanic Students Percent,District 2022-23 Pacific Islander Students Percent,District 2022-23 White Students Percent,District 2022-23 Two or More Races Students Percent,District 2022-23 Economically Disadvantaged Students Percent,District 2022-23 Title I Students percent,District 2022-23 Special Education Students Percent,District 2022-23 Section 504 Students Percent,District 2022-23 Bilingual/ESL Education Students Percent,District 2022-23 Emergent Bilingual/English Learner Students Percent,District 2022-23 Homeless Students Percent,District 2022-23 Immigrant Students Percent,District 2022-23 Migrant Students Percent,District 2022-23 Military Connected Students Percent,District 2022-23 Foster Care Students Percent,District 2022-23 Gifted & Talented Education Students Percent,District 2023 Staff: Teacher Student Ratio
245,DENTON,61911,NORTHWEST ISD,29248,3132.6,11.8,0.5,6.6,24.5,0.2,52.8,3.5,26.8,9.9,14.1,10.6,9.1,9.5,0.3,1.1,0.0,8.0,0.2,10.6,15.6
246,DENTON,61912,LAKE DALLAS ISD,3900,566.6,9.7,0.8,3.1,34.7,0.1,46.4,5.2,42.9,66.8,12.9,17.1,12.6,12.8,0.3,1.6,0.0,0.6,0.3,7.1,13.5
247,DENTON,61914,LITTLE ELM ISD,8351,983.1,18.9,0.3,5.1,37.8,0.2,32.0,5.7,48.3,64.3,11.5,8.3,24.8,21.2,0.6,1.3,0.0,0.9,0.2,7.6,15.9
248,DEWITT,62901,CUERO ISD,1937,351.3,8.6,0.1,0.5,50.7,0.0,37.7,2.4,64.4,66.9,18.4,12.1,3.6,3.8,4.9,0.2,0.0,1.0,0.7,5.1,12.1
249,DEWITT,62902,NORDHEIM ISD,131,29.6,2.3,1.5,0.0,44.3,0.0,50.4,1.5,52.7,100.0,9.9,6.1,0.0,0.0,0.0,0.0,0.0,6.9,0.0,1.5,8.1
250,DEWITT,62903,YOAKUM ISD,1546,372.6,5.6,0.0,0.3,67.6,0.0,24.3,2.3,75.7,48.0,18.2,11.5,19.1,19.2,1.9,0.9,0.3,1.0,0.1,3.2,10.9
251,DEWITT,62904,YORKTOWN ISD,536,94.7,2.2,0.4,0.4,47.2,0.0,48.7,1.1,58.0,73.5,13.4,9.7,1.3,1.3,0.9,0.0,0.0,7.1,0.0,8.2,11.1
252,DEWITT,62905,WESTHOFF ISD,81,18.0,6.2,0.0,0.0,37.0,0.0,56.8,0.0,43.2,100.0,7.4,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4
253,DEWITT,62906,MEYERSVILLE ISD,150,21.8,1.3,0.0,0.0,14.7,0.0,82.0,2.0,36.7,100.0,7.3,6.7,0.7,0.7,0.0,0.0,0.0,0.7,0.7,6.7,12.5
254,DICKENS,63903,SPUR ISD,225,44.7,0.4,0.0,0.0,41.8,0.0,52.0,5.8,57.8,99.6,20.9,16.4,1.3,1.3,2.7,0.0,0.0,0.0,0.0,6.7,9.2
255,DICKENS,63906,PATTON SPRINGS ISD,77,29.0,1.3,0.0,0.0,42.9,0.0,55.8,0.0,75.3,100.0,16.9,5.2,3.9,3.9,2.6,0.0,0.0,9.1,0.0,13.0,6.3
256,DIMMIT,64903,CARRIZO SPRINGS CISD,1903,351.7,0.4,0.1,0.8,95.2,0.0,3.4,0.2,76.9,100.0,10.5,10.8,4.5,5.4,3.3,0.0,2.0,0.2,0.6,6.9,13.4
257,DONLEY,65901,CLARENDON ISD,434,91.9,7.6,0.2,0.0,13.6,0.0,72.8,5.8,51.4,100.0,15.7,8.8,0.2,0.2,1.6,0.0,1.2,0.0,0.9,10.6,9.0
258,DONLEY,65902,HEDLEY ISD,117,32.6,0.0,0.0,0.0,27.4,0.0,67.5,5.1,85.5,100.0,30.8,9.4,2.6,2.6,0.0,1.7,0.0,2.6,0.0,0.9,6.9
259,DUVAL,66005,RAMIREZ CSD,21,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,90.5,100.0,9.5,0.0,9.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0
260,DUVAL,66901,BENAVIDES ISD,353,56.0,1.4,0.0,0.3,88.1,0.3,8.8,1.1,72.0,100.0,7.4,1.4,48.4,19.0,0.0,0.0,1.1,5.4,0.3,2.3,14.2
261,DUVAL,66902,SAN DIEGO ISD,1495,215.2,0.0,0.0,0.2,98.2,0.0,1.5,0.1,90.2,100.0,14.0,7.6,0.8,0.9,0.5,0.0,0.1,3.6,0.1,4.8,14.3
262,DUVAL,66903,FREER ISD,734,137.3,0.3,0.1,0.3,93.7,0.0,5.3,0.3,80.9,100.0,14.3,7.6,3.0,3.3,0.0,0.0,0.1,1.4,0.1,7.8,12.9
263,EASTLAND,67902,CISCO ISD,829,161.2,0.7,0.5,0.8,16.8,0.0,79.9,1.3,54.4,71.5,15.8,11.0,1.8,1.8,6.8,0.0,0.0,4.2,0.1,6.6,10.1
264,EASTLAND,67903,EASTLAND ISD,1057,168.0,0.6,0.0,1.2,28.5,0.2,67.9,1.6,61.3,70.8,13.0,7.8,6.9,7.4,2.7,0.0,0.0,0.2,0.0,7.9,11.4
265,EASTLAND,67904,GORMAN ISD,253,67.4,0.4,0.0,0.4,40.3,1.6,54.9,2.4,72.3,53.0,16.6,13.4,7.1,7.5,13.8,0.4,0.0,0.0,0.0,3.2,8.3
266,EASTLAND,67907,RANGER ISD,323,76.3,1.2,0.3,0.0,24.8,0.0,72.1,1.5,77.4,48.6,21.1,13.9,3.1,3.1,0.6,0.0,0.0,0.0,0.0,4.6,8.3
267,EASTLAND,67908,RISING STAR ISD,183,40.5,1.1,0.0,0.5,19.7,0.0,77.0,1.6,67.2,51.9,19.7,4.4,3.8,3.8,0.5,0.0,0.0,0.5,0.5,1.6,8.9
268,ECTOR,68901,ECTOR COUNTY ISD,33340,3784.9,3.6,0.2,0.9,79.4,0.3,14.2,1.4,66.4,69.3,10.4,0.9,23.6,23.8,4.0,2.2,0.0,0.8,0.2,9.0,18.7
269,EDWARDS,69901,ROCKSPRINGS ISD,237,52.4,0.0,0.0,0.0,81.0,0.0,19.0,0.0,67.9,100.0,12.2,8.9,7.6,8.0,0.0,0.0,0.0,0.4,0.0,3.4,11.6
270,EDWARDS,69902,NUECES CANYON CISD,248,52.3,1.2,0.4,0.0,39.5,0.0,57.3,1.6,61.7,100.0,15.3,3.6,1.6,1.6,0.0,0.0,0.0,0.0,0.0,9.7,8.6
271,ELLIS,70901,AVALON ISD,337,51.4,1.5,0.0,0.3,37.7,0.0,57.6,3.0,53.1,98.8,18.7,3.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,3.9,12.2
272,ELLIS,70903,ENNIS ISD,6185,792.1,13.1,0.2,0.4,56.1,0.5,27.8,1.9,71.7,98.3,13.0,10.1,17.8,17.7,1.6,0.7,0.0,0.1,0.0,8.0,14.2
273,ELLIS,70905,FERRIS ISD,2716,500.6,7.6,0.2,0.4,73.7,0.1,16.5,1.5,80.8,99.9,14.6,4.8,34.6,36.2,1.4,0.3,0.0,1.4,0.2,5.4,12.9
274,ELLIS,70907,ITALY ISD,634,119.7,12.5,0.3,0.2,31.9,0.3,51.9,3.0,65.8,99.8,18.1,9.3,10.3,10.3,0.2,0.0,0.0,0.0,0.6,1.9,11.4
275,ELLIS,70908,MIDLOTHIAN ISD,10990,1221.7,12.7,0.3,1.0,23.8,0.1,57.1,5.1,29.7,18.2,14.3,11.0,4.7,4.8,0.8,0.6,0.0,3.9,0.3,5.6,16.0
276,ELLIS,70909,MILFORD ISD,247,44.0,21.9,0.0,0.0,44.1,0.0,29.1,4.9,75.7,100.0,15.0,8.9,19.0,19.8,0.0,0.0,0.8,2.4,0.0,6.5,10.1
277,ELLIS,70910,PALMER ISD,1304,185.9,1.8,0.2,0.5,46.0,0.0,49.2,2.3,53.0,71.6,20.9,8.7,14.1,15.6,0.2,0.0,0.0,1.1,0.5,4.8,14.3
278,ELLIS,70911,RED OAK ISD,6499,927.8,33.7,0.3,1.0,40.3,0.0,21.1,3.7,60.9,42.9,13.9,8.2,12.5,14.0,0.8,0.5,0.0,0.5,0.8,6.4,15.7
279,ELLIS,70912,WAXAHACHIE ISD,10837,1595.3,17.6,0.6,0.7,35.1,0.2,42.2,3.6,49.7,74.3,16.7,10.8,9.5,9.5,0.8,0.3,0.0,8.5,0.5,8.2,14.2
280,ELLIS,70915,MAYPEARL ISD,1212,187.7,2.1,0.1,0.4,24.2,0.1,70.1,3.0,41.5,70.0,13.5,11.1,7.3,7.5,2.3,0.2,0.0,2.6,0.2,5.9,14.6
281,EL PASO,71901,CLINT ISD,10365,1610.5,0.4,0.3,0.1,95.1,0.1,3.6,0.5,84.9,100.0,12.9,2.9,36.4,42.1,2.1,1.4,0.5,4.8,0.0,4.0,15.0
282,EL PASO,71902,EL PASO ISD,50031,7202.9,3.4,0.2,1.3,84.1,0.4,8.7,2.0,75.9,87.0,11.8,6.5,43.2,36.3,0.9,0.8,0.4,9.9,0.1,12.2,14.2
283,EL PASO,71903,FABENS ISD,1931,348.9,0.0,0.0,0.0,99.5,0.0,0.5,0.0,92.4,100.0,15.2,7.6,45.4,52.9,3.7,1.2,5.2,2.4,0.0,3.9,12.8
284,EL PASO,71904,SAN ELIZARIO ISD,3177,545.5,0.1,0.0,0.0,99.2,0.0,0.6,0.1,91.2,100.0,14.6,5.0,53.6,61.8,1.4,1.6,0.8,2.3,0.0,5.9,16.3
285,EL PASO,71905,YSLETA ISD,36183,5967.9,1.1,0.1,0.3,95.1,0.1,3.1,0.2,78.3,99.7,15.1,7.1,31.0,32.4,0.8,0.8,0.2,5.6,0.2,6.6,14.5
286,EL PASO,71906,ANTHONY ISD,781,152.7,0.6,0.0,0.1,96.5,0.0,2.3,0.4,78.7,100.0,13.6,4.1,24.8,30.3,2.4,0.9,5.4,1.2,0.0,11.7,13.5
287,EL PASO,71907,CANUTILLO ISD,6076,1001.8,1.0,0.1,0.5,92.9,0.0,4.4,1.0,66.4,90.6,10.6,6.6,36.3,33.3,2.4,0.8,1.5,12.8,0.0,10.6,14.3
288,EL PASO,71908,TORNILLO ISD,829,179.5,0.0,0.1,0.0,99.2,0.0,0.6,0.1,93.7,100.0,10.6,3.0,46.1,63.7,2.8,1.0,1.9,0.0,0.0,7.6,12.0
289,EL PASO,71909,SOCORRO ISD,47843,6463.0,2.0,0.1,0.5,91.6,0.2,4.7,0.9,74.3,100.0,12.7,4.5,28.9,29.0,0.6,0.9,0.1,13.6,0.1,6.3,16.5
290,ERATH,72901,THREE WAY ISD,233,35.2,0.4,0.4,0.4,42.5,0.0,52.8,3.4,72.5,100.0,7.7,5.6,13.3,12.9,0.9,0.0,4.3,8.6,0.0,1.7,11.0
291,ERATH,72902,DUBLIN ISD,1146,194.7,0.9,0.2,0.3,61.3,0.0,36.5,0.9,76.5,100.0,8.8,6.4,21.8,21.9,0.0,0.0,1.0,0.7,0.2,6.0,12.5
292,ERATH,72903,STEPHENVILLE ISD,3730,485.1,1.2,0.4,1.3,37.5,0.1,56.0,3.5,50.3,70.1,15.9,7.4,13.8,14.6,0.6,0.8,0.4,5.9,0.9,7.5,13.5
293,ERATH,72904,BLUFF DALE ISD,242,37.7,0.4,2.1,0.4,7.4,0.8,84.7,4.1,33.5,100.0,12.4,9.5,0.0,0.0,0.8,0.0,0.0,3.7,0.0,5.8,11.4
294,ERATH,72908,HUCKABAY ISD,313,45.7,0.0,0.3,0.0,16.3,0.0,79.6,3.8,12.5,99.4,7.7,2.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,13.0
295,ERATH,72909,LINGLEVILLE ISD,282,51.7,0.4,0.0,0.0,46.8,0.0,51.4,1.4,52.8,100.0,11.0,11.0,19.9,19.9,0.0,0.7,1.4,7.1,0.0,12.8,10.7
296,ERATH,72910,MORGAN MILL ISD,117,18.2,0.0,0.0,0.0,11.1,0.0,82.1,6.8,49.6,100.0,6.8,7.7,0.0,0.0,0.0,0.9,0.0,3.4,0.0,12.8,10.7
297,FALLS,73901,CHILTON ISD,553,95.1,21.3,0.4,0.4,58.8,0.0,15.7,3.4,91.5,100.0,8.9,4.9,19.0,21.5,2.2,0.2,0.2,0.2,0.7,4.7,13.2
298,FALLS,73903,MARLIN ISD,926,166.1,53.6,0.0,0.4,37.6,0.0,5.5,2.9,99.2,99.9,10.9,2.5,17.3,17.3,0.0,0.3,0.0,0.4,0.3,1.7,16.8
299,FALLS,73904,WESTPHALIA ISD,154,26.5,1.3,0.0,0.0,6.5,0.0,89.0,3.2,17.5,100.0,13.6,5.2,0.6,2.6,1.3,0.0,0.0,1.3,0.0,7.8,10.8
300,FALLS,73905,ROSEBUD-LOTT ISD,755,129.5,8.5,0.0,0.1,35.2,0.1,49.8,6.2,63.8,99.9,13.5,9.4,6.0,6.5,0.3,0.4,0.0,1.9,0.1,6.2,12.1
301,FANNIN,74903,BONHAM ISD,1899,316.4,6.1,0.7,0.6,31.2,0.1,55.3,5.9,68.6,99.8,19.0,10.6,16.9,17.2,2.4,1.2,0.0,1.9,0.4,5.4,14.0
302,FANNIN,74904,DODD CITY ISD,331,47.2,0.0,0.0,0.0,11.8,0.0,85.8,2.4,38.7,100.0,14.2,3.3,2.1,2.1,0.9,0.0,0.0,2.1,0.0,3.0,12.5
303,FANNIN,74905,ECTOR ISD,230,48.6,2.2,0.9,0.4,12.6,0.0,81.7,2.2,52.6,100.0,23.9,12.6,3.0,3.0,1.3,0.0,0.0,0.9,0.4,0.4,8.7
304,FANNIN,74907,HONEY GROVE ISD,617,100.9,6.8,0.2,0.2,22.2,0.0,64.8,5.8,59.2,64.7,16.9,13.5,9.2,9.2,2.9,0.0,0.0,4.1,0.2,6.2,12.9
305,FANNIN,74909,LEONARD ISD,814,143.7,1.5,0.6,0.1,22.5,0.0,68.8,6.5,59.3,44.6,12.8,13.1,5.8,6.1,1.7,0.0,0.0,1.1,0.0,5.9,11.7
306,FANNIN,74911,SAVOY ISD,319,59.8,0.6,0.6,0.3,11.6,0.0,83.4,3.4,56.7,58.6,16.9,11.6,2.8,2.8,0.6,0.3,0.0,0.3,0.3,7.5,10.5
307,FANNIN,74912,TRENTON ISD,699,99.0,1.0,1.1,0.0,27.0,0.0,68.0,2.9,40.3,42.8,13.6,9.0,12.4,12.4,0.4,0.3,0.0,0.4,0.0,6.6,13.8
308,FANNIN,74917,SAM RAYBURN ISD,506,80.5,0.0,0.4,0.0,9.7,0.0,86.6,3.4,45.8,55.5,16.0,11.7,4.9,4.9,0.0,0.0,0.2,1.4,0.6,5.1,9.9
309,FAYETTE,75901,FLATONIA ISD,661,104.0,3.5,0.0,0.3,49.9,0.3,44.3,1.7,51.9,99.7,14.7,8.8,8.5,8.5,3.3,0.0,5.1,0.0,2.1,9.7,11.6
310,FAYETTE,75902,LA GRANGE ISD,1883,250.5,7.8,0.2,0.3,42.3,0.0,45.7,3.8,57.6,68.9,16.6,6.4,17.4,17.6,0.8,1.0,0.0,0.8,0.2,6.4,13.1
311,FAYETTE,75903,SCHULENBURG ISD,687,120.8,13.7,0.0,1.0,39.0,0.0,44.0,2.3,65.5,100.0,17.0,8.4,13.5,13.5,0.6,0.0,0.3,1.0,0.0,8.0,10.8
312,FAYETTE,75906,FAYETTEVILLE ISD,302,47.5,1.3,0.0,0.0,16.9,0.0,79.8,2.0,22.8,92.4,10.6,6.3,6.3,6.3,0.0,1.7,0.0,0.3,0.0,10.3,11.1
313,FAYETTE,75908,ROUND TOP-CARMINE ISD,254,47.2,2.4,0.0,0.0,24.0,0.0,70.5,3.1,35.0,55.9,10.6,7.5,10.2,10.2,0.0,0.0,0.0,6.7,1.2,3.1,10.3
314,FISHER,76903,ROBY CISD,319,67.3,0.9,0.0,0.0,33.5,0.0,63.9,1.6,54.5,100.0,12.5,6.9,3.4,3.4,1.9,0.0,0.9,0.0,0.0,5.0,8.8
315,FISHER,76904,ROTAN ISD,262,53.1,5.3,0.4,0.0,50.8,0.0,40.8,2.7,69.5,100.0,14.5,6.9,3.4,3.4,10.7,0.0,0.0,1.5,0.8,6.9,9.2
316,FLOYD,77901,FLOYDADA COLLEGIATE ISD,684,136.3,3.5,0.0,0.3,76.6,0.1,19.0,0.4,77.2,99.7,9.8,9.1,6.9,7.3,0.9,0.4,3.4,1.9,0.0,3.7,10.6
317,FLOYD,77902,LOCKNEY ISD,407,82.3,2.5,0.0,0.2,81.1,0.2,16.0,0.0,79.4,44.5,11.5,13.8,4.9,4.9,0.0,0.0,3.7,5.9,0.0,7.9,9.9
318,FOARD,78901,CROWELL ISD,197,42.7,2.0,0.5,0.0,34.5,0.0,57.4,5.6,65.0,100.0,18.8,4.6,1.0,1.0,2.5,0.0,0.0,0.0,0.0,7.6,9.9
319,FORT BEND,79901,LAMAR CISD,42461,4654.9,22.1,0.3,8.9,40.8,0.2,24.4,3.4,47.8,42.1,13.7,6.5,19.3,19.8,0.7,1.4,0.0,0.1,0.3,8.6,17.8
320,FORT BEND,79906,NEEDVILLE ISD,3553,433.3,4.0,0.3,0.4,48.4,0.1,45.2,1.6,44.5,70.0,14.9,8.6,10.8,10.8,0.0,0.8,0.0,3.9,0.0,3.4,14.8
321,FORT BEND,79907,FORT BEND ISD,79660,10213.6,27.8,0.5,27.2,26.6,0.1,13.8,3.9,50.3,20.8,12.3,4.7,20.1,20.6,0.9,1.7,0.0,2.6,0.4,6.5,16.6
322,FORT BEND,79910,STAFFORD MSD,3641,504.8,40.3,0.3,7.2,47.3,0.1,3.1,1.8,77.0,99.8,8.7,3.3,24.1,24.5,2.1,2.0,0.0,1.2,0.1,4.2,14.3
323,FRANKLIN,80901,MOUNT VERNON ISD,1571,236.7,4.7,0.3,0.6,26.9,0.0,63.0,4.5,68.2,99.9,14.1,12.5,13.6,14.4,1.6,1.2,0.1,5.2,0.3,6.6,13.0
324,FREESTONE,81902,FAIRFIELD ISD,1662,249.4,12.4,0.4,1.0,28.9,0.2,51.1,6.0,61.7,70.8,11.2,10.7,6.6,6.6,1.3,0.6,0.2,0.6,1.4,3.7,12.9
325,FREESTONE,81904,TEAGUE ISD,1216,185.0,10.4,0.0,0.5,31.8,0.1,53.3,3.9,62.9,100.0,15.9,8.7,10.7,10.8,1.3,0.2,0.7,3.0,0.8,7.3,13.2
326,FREESTONE,81905,WORTHAM ISD,552,82.5,11.4,0.0,0.0,24.8,0.0,60.5,3.3,57.6,99.8,10.3,13.0,8.9,8.9,2.0,0.0,0.0,0.5,0.0,4.5,12.5
327,FREESTONE,81906,DEW ISD,137,36.0,5.8,0.0,0.7,16.8,0.0,73.7,2.9,63.5,100.0,10.2,1.5,4.4,4.4,0.0,0.0,0.0,0.0,0.0,0.0,7.1
328,FRIO,82902,DILLEY ISD,899,174.1,0.2,0.0,0.3,93.3,0.0,6.0,0.1,81.4,99.9,18.4,8.2,5.0,5.0,13.6,0.7,1.1,0.2,0.3,6.3,12.3
329,FRIO,82903,PEARSALL ISD,2026,317.1,0.4,0.0,0.2,94.3,0.0,4.9,0.1,84.5,99.9,14.2,8.5,5.5,6.4,4.6,0.3,0.6,1.0,0.3,2.9,15.9
330,GAINES,83901,SEAGRAVES ISD,505,111.2,3.6,0.2,0.0,86.5,0.0,9.1,0.6,78.4,100.0,8.9,5.0,24.0,24.6,2.0,2.4,13.7,1.0,0.4,5.1,10.1
331,GAINES,83902,LOOP ISD,157,31.0,0.0,0.6,0.0,29.3,0.0,68.8,1.3,57.3,100.0,9.6,4.5,9.6,9.6,0.0,0.0,0.0,1.9,0.0,2.5,9.9
332,GAINES,83903,SEMINOLE ISD,3011,483.0,0.9,0.1,0.4,55.2,0.1,42.6,0.7,57.9,100.0,15.0,6.8,17.9,18.1,0.6,3.5,0.1,0.1,0.3,3.1,12.5
333,GALVESTON,84901,DICKINSON ISD,12360,1797.0,15.7,0.5,1.9,50.9,0.1,28.2,2.8,66.3,99.0,15.7,6.2,17.6,18.6,1.2,1.2,0.0,3.9,0.1,7.1,14.2
334,GALVESTON,84902,GALVESTON ISD,6486,1100.8,23.5,0.2,1.6,46.9,0.1,24.8,2.9,80.4,100.0,11.4,5.8,25.4,24.5,3.3,2.7,0.0,1.4,0.4,4.7,13.2
335,GALVESTON,84903,HIGH ISLAND ISD,151,37.0,0.0,1.3,2.6,11.3,0.0,79.5,5.3,59.6,100.0,18.5,9.3,0.0,0.0,4.0,0.0,0.0,0.0,0.7,6.0,8.4
336,GALVESTON,84906,TEXAS CITY ISD,7890,1252.7,29.3,0.2,0.3,46.0,0.0,19.5,4.6,83.0,67.1,18.9,5.5,12.7,13.2,3.3,0.2,0.0,0.8,0.2,5.0,14.7
337,GALVESTON,84908,HITCHCOCK ISD,1841,283.2,38.0,0.1,0.5,36.0,0.1,21.4,4.0,83.9,91.1,15.3,5.6,7.0,7.4,7.6,0.0,0.0,0.0,0.1,3.7,16.7
338,GALVESTON,84909,SANTA FE ISD,4343,664.0,1.2,0.5,0.7,26.7,0.1,68.7,2.1,53.4,99.9,13.8,7.4,6.8,6.9,0.6,0.1,0.0,2.6,0.2,3.8,15.9
339,GALVESTON,84910,CLEAR CREEK ISD,40693,5178.1,7.7,0.2,8.7,34.4,0.2,44.0,4.8,37.1,28.1,14.1,5.5,13.9,13.1,1.6,2.4,0.0,3.3,0.1,13.2,16.0
340,GALVESTON,84911,FRIENDSWOOD ISD,6213,778.3,1.6,0.2,6.4,21.0,0.2,66.0,4.7,11.8,21.1,14.4,11.6,2.8,3.0,0.0,0.5,0.0,6.8,0.0,8.8,15.7
341,GARZA,85902,POST ISD,741,127.4,5.0,0.4,0.1,61.7,0.0,27.9,4.9,69.1,100.0,15.5,7.6,9.2,9.2,0.9,0.3,0.0,0.5,0.0,1.5,13.3
342,GARZA,85903,SOUTHLAND ISD,126,31.4,0.8,0.0,0.0,56.3,0.0,41.3,1.6,68.3,100.0,9.5,5.6,0.0,0.0,0.0,0.0,0.0,3.2,0.8,2.4,7.3
343,GILLESPIE,86024,DOSS CONSOLIDATED CSD,22,5.9,0.0,0.0,9.1,36.4,0.0,54.5,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
344,GILLESPIE,86901,FREDERICKSBURG ISD,3094,446.6,0.3,0.1,0.6,50.9,0.0,46.5,1.5,60.0,62.8,17.3,6.9,18.3,18.5,0.4,1.8,0.1,2.6,0.2,4.8,14.2
345,GILLESPIE,86902,HARPER ISD,584,90.2,0.5,0.0,0.0,17.6,0.0,80.0,1.9,36.8,100.0,13.5,7.9,2.7,2.9,1.2,0.3,0.0,2.9,0.0,7.2,11.5
346,GLASSCOCK,87901,GLASSCOCK COUNTY ISD,295,71.3,0.0,0.0,0.0,43.1,0.0,56.3,0.7,16.9,100.0,10.8,13.2,8.5,8.5,0.7,1.4,0.0,2.0,0.3,6.4,8.6
347,GOLIAD,88902,GOLIAD ISD,1312,230.6,3.6,0.3,0.5,47.0,0.0,46.5,2.2,50.6,100.0,14.3,12.7,1.1,1.3,1.8,0.0,0.0,0.9,0.2,7.3,13.6
348,GONZALES,89901,GONZALES ISD,2605,405.6,7.9,0.2,0.2,66.4,0.1,24.3,0.9,71.2,100.0,15.9,9.3,23.0,23.6,0.6,0.6,0.2,0.8,0.4,6.3,15.2
349,GONZALES,89903,NIXON-SMILEY CISD,1045,217.2,1.1,0.2,0.1,74.7,0.0,22.4,1.4,83.3,99.6,19.1,8.4,19.6,20.2,2.8,0.3,0.5,1.1,0.5,8.8,11.6
350,GONZALES,89905,WAELDER ISD,290,64.2,5.9,0.0,0.0,85.9,0.0,7.6,0.7,95.5,100.0,14.8,2.1,29.3,29.7,9.3,0.0,3.1,0.7,0.0,3.8,9.5
351,GRAY,90902,LEFORS ISD,187,34.7,0.0,0.5,1.6,16.6,0.0,77.5,3.7,61.5,100.0,18.7,8.0,3.2,3.2,0.0,0.0,0.0,0.0,0.0,7.5,10.2
352,GRAY,90903,MCLEAN ISD,198,40.6,0.5,0.0,0.0,16.7,0.0,77.3,5.6,64.6,100.0,17.2,10.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9
353,GRAY,90904,PAMPA ISD,3441,519.6,2.6,0.4,0.5,49.3,0.0,44.8,2.5,63.5,69.5,17.6,8.2,18.3,18.7,1.9,0.6,0.0,1.5,0.6,7.5,14.6
354,GRAY,90905,GRANDVIEW-HOPKINS ISD,44,12.7,0.0,0.0,0.0,25.0,0.0,75.0,0.0,9.1,0.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
355,GRAYSON,91901,BELLS ISD,963,130.4,0.5,1.2,0.5,10.7,0.6,80.3,6.1,41.3,45.9,16.1,10.9,1.7,1.8,0.4,0.0,0.0,0.0,0.0,7.2,12.5
356,GRAYSON,91902,COLLINSVILLE ISD,537,96.9,1.3,0.4,0.0,21.2,0.0,75.0,2.0,53.4,55.5,18.2,9.5,5.8,6.1,0.9,0.0,0.0,5.4,0.4,3.5,11.0
357,GRAYSON,91903,DENISON ISD,4868,613.0,9.3,1.5,0.6,24.4,0.0,53.6,10.5,62.3,42.1,16.5,8.8,9.4,9.6,0.9,0.6,0.0,0.5,0.2,3.0,13.8
358,GRAYSON,91905,HOWE ISD,1283,184.3,2.7,0.5,0.4,29.1,0.1,61.6,5.8,53.1,72.6,17.1,11.3,11.6,11.8,0.1,0.9,0.0,3.8,0.3,3.9,12.6
359,GRAYSON,91906,SHERMAN ISD,7767,1115.0,11.7,0.8,2.9,45.6,0.1,32.2,6.8,79.0,93.4,17.3,9.5,27.1,27.4,5.1,0.3,0.0,0.0,0.0,9.8,12.8
360,GRAYSON,91907,TIOGA ISD,719,123.4,0.1,0.4,0.1,20.9,0.0,75.2,3.2,29.8,100.0,14.0,16.0,6.8,7.1,0.6,0.3,0.0,3.9,0.4,8.3,11.2
361,GRAYSON,91908,VAN ALSTYNE ISD,2285,274.5,2.0,0.7,2.5,20.3,0.0,69.8,4.8,22.9,26.2,14.7,15.1,4.2,4.5,0.1,0.1,0.0,10.9,0.2,4.8,14.7
362,GRAYSON,91909,WHITESBORO ISD,1712,234.2,0.8,1.5,0.7,19.8,0.3,72.0,4.9,54.7,73.0,17.8,9.2,7.1,7.4,2.6,0.5,0.0,2.7,0.5,3.0,14.6
363,GRAYSON,91910,WHITEWRIGHT ISD,788,108.9,2.8,0.9,0.3,15.0,0.1,74.9,6.1,51.8,72.1,15.2,12.6,5.8,5.8,3.8,0.3,0.0,1.3,0.5,10.3,12.2
364,GRAYSON,91913,POTTSBORO ISD,1489,202.0,0.2,2.1,0.5,9.1,0.0,80.6,7.6,37.1,36.5,12.6,17.5,1.3,1.4,0.3,0.0,0.0,8.1,0.1,4.9,14.4
365,GRAYSON,91914,S AND S CISD,943,146.4,0.4,0.3,0.6,18.7,0.2,74.3,5.4,43.4,35.1,16.6,12.3,6.0,6.0,1.0,0.3,0.0,6.3,0.5,3.9,12.1
366,GRAYSON,91917,GUNTER ISD,1158,268.7,1.3,0.5,0.4,20.1,0.2,73.9,3.5,20.8,35.8,11.3,13.4,5.4,5.6,1.6,0.2,0.0,4.6,0.7,7.8,10.8
367,GRAYSON,91918,TOM BEAN ISD,666,108.0,1.4,1.7,0.3,15.6,0.0,79.1,2.0,45.5,47.6,13.1,11.9,6.0,5.9,0.2,0.0,0.0,0.8,0.2,2.9,10.8
368,GREGG,92901,GLADEWATER ISD,1755,303.6,20.6,0.2,0.6,18.2,0.1,52.9,7.4,79.2,100.0,18.3,8.6,6.8,7.1,0.9,0.0,0.1,1.6,0.7,5.8,12.4
